iteration,loss,pred_rate,r_square,best_valid_loss,best_pred_rate,best_r_square
1,1.0001059214433055,-0.004409399209465805,0.007594741797668262,1.0000979223965496,-0.004409399209465805,0.007594741797668262
500,0.9822203019518064,1.5166255022910224,0.8865678938079329,0.9832163883766721,1.5166255022910224,0.8865678938079329
1000,0.9800967833381516,1.933722699695952,0.9589260786563764,0.9814150743452307,1.933722699695952,0.9589260786563764
1500,0.9801334993534349,1.9294877558700037,0.9598759266871754,0.9813313871265158,1.9294877558700037,0.9598759266871754
2000,0.9799194857853325,1.9424829200850968,0.9700128422315075,0.9813079271627704,1.9424829200850968,0.9700128422315075
2500,0.979707891953291,1.9857757577765096,0.9779638873251464,0.9811401132172771,1.9857757577765096,0.9779638873251464
3000,0.9798437219203182,1.9949693659717038,0.9687411354416304,0.9811401132172771,1.9857757577765096,0.9779638873251464
3500,0.9801205533992531,2.014356338240998,0.9588491337801068,0.9811401132172771,1.9857757577765096,0.9779638873251464
4000,0.979696905472559,1.9620625165950751,0.9798175302348249,0.9810807259110513,1.9620625165950751,0.9798175302348249
4500,0.9798004132840824,2.05978970951351,0.9730765935194579,0.9810807259110513,1.9620625165950751,0.9798175302348249
5000,0.9798023629906863,2.111100431951197,0.9755610649266321,0.9810807259110513,1.9620625165950751,0.9798175302348249
5500,0.9798471305495218,2.046244326018417,0.9709918221430506,0.9810807259110513,1.9620625165950751,0.9798175302348249
6000,0.9795319873968621,2.07919312449356,0.9839162086614189,0.9810807259110513,1.9620625165950751,0.9798175302348249
6500,0.979596043255407,2.04060169398126,0.9790091276749335,0.9810807259110513,1.9620625165950751,0.9798175302348249
7000,0.9797712812246062,2.0441869450071297,0.9761586533618678,0.9810807259110513,1.9620625165950751,0.9798175302348249
7500,0.9795891820461933,2.0057316611579936,0.9825305027754875,0.9810177688226653,2.0057316611579936,0.9825305027754875
8000,0.9797974661383454,2.073537072467386,0.9741267237298943,0.9810177688226653,2.0057316611579936,0.9825305027754875
8500,0.9797231489873734,2.0333331280512423,0.974108944028244,0.9810177688226653,2.0057316611579936,0.9825305027754875
9000,0.9803081574161614,2.13081308827641,0.9539704939342449,0.9810177688226653,2.0057316611579936,0.9825305027754875
9500,0.9797114971402675,2.1047531914162576,0.9771730974437043,0.9810177688226653,2.0057316611579936,0.9825305027754875
10000,0.97974756976458,2.0443502024764344,0.9747266227334027,0.9810177688226653,2.0057316611579936,0.9825305027754875
10500,0.9795249162004626,1.9991444253177628,0.984578072083191,0.9808841486045131,1.9991444253177628,0.984578072083191
11000,0.9795863826239999,2.0595586393978222,0.9804887261837172,0.9808841486045131,1.9991444253177628,0.984578072083191
11500,0.9799030127789411,2.0037827993281727,0.9637030875314144,0.9808841486045131,1.9991444253177628,0.984578072083191
12000,0.9797761231384392,1.9374189156982184,0.9737053405821783,0.9808841486045131,1.9991444253177628,0.984578072083191
